premise_en,premise_fr,premise_ru,hypothesis_en,hypothesis_fr,hypothesis_ru,label
"Among these are the red brick Royal Palace , which now houses the Patan Museum ( Nepal 's finest and most modern museum ) , and , facing the palace across the narrow brick plaza , eight temples of different styles and sizes .","Parmi ceux-ci se trouve le palais royal de brique rouge , qui abrite maintenant le musée patan ( le plus beau et le plus moderne musée du Népal ) , et , face au palais à travers l' étroit Brick Plaza , huit temples de styles et de tailles différents .","Среди них - королевский дворец красного кирпича , в котором сейчас находится музей патан ( самый лучший и самый современный музей Непала ) , и перед дворцом через узкий кирпичный плаза , восемь храмов разных стилей и размеров .",The Patan Museum is down the street from the red brick Royal Palace .,Le Musée Patan est en bas de la rue du Palais Royal de brique rouge .,Музей Патан находится вниз по улице от Королевского дворца красного кирпича .,2
yeah it 's kind of like in Louisiana where that uh guy that 's like a Ku Klux Klan member something got elected kind of scary when you think about that,Ouais c' est un peu comme en Louisiane où ce mec qui est comme un membre du Ku Klux Klan quelque chose a été élu un peu effrayant quand on pense à ça .,"Да , это как в луизиане , где этот парень , как член ку-клукс-клана , что-то у , когда ты думаешь об этом .",A Ku Klux Klan member has been elected in Louisiana .,Un membre du Ku Klux Klan a été élu en Louisiane .,Член КУ-клукс-клана был избран в луизиане .,0
or at least they try and do something about it first,Ou au moins ils essaient de faire quelque chose à ce sujet en premier .,"Или , по крайней мере , они пытаются сделать что-то с этим первым .",They might at least try and do something about it first .,Ils pourraient au moins essayer d' y faire quelque chose en premier .,Они могут хотя бы попытаться сделать что-то с этим первым .,0
i i 'm i 'm not really impressed with i mean i lived in Germany for three years i i was i 'm not impressed with skiing now i like i like other you know winter sports but i 'm not real thrilled about them,"Je ne suis pas vraiment impressionné par le fait que j' ai vécu en Allemagne pendant trois ans , je n' ai pas été impressionné par le ski maintenant j' aime bien les autres tu connais les sports d' hiver mais je ne suis pas vraiment ravi d' eux .","Я на самом деле не впечатлена , я имею в виду я жила в Германии три года я была я не впечатлена на лыжах теперь мне нравится , что я люблю других ты знаешь зимние виды спорта но я не очень в восторге от них",I am not a big fan of winter sports .,Je ne suis pas un grand fan des sports d' hiver .,Я не большой фанат зимних видов спорта .,0
It 's a commitment to general education--a sequence of courses intended to develop critical thinking in a wide variety of disciplines--in opposition to early specialization .,C' est un engagement envers l' enseignement général -- une séquence de cours destinés à développer la pensée critique dans une grande variété de disciplines -- en opposition à la spécialisation précoce .,"Это обязательство общего образования - последовательность курсов , направленных на развитие критического мышления по широкому кругу дисциплин -- в оппозиции к ранней специализации .",General education 's focus is to develop students ' critical thinking skills .,L' objectif de l' enseignement général est de développer les compétences en matière de pensée critique des étudiants .,В центре внимания общего образования находится развитие навыков мышления учащихся .,0
Theoretically scale economies in delivery are not firm specific .,"En théorie , les économies d' échelle ne sont pas très précises .","Теоретически экономика стран , в которых осуществляется поставка , не является твердой .",Scale economies are flexible .,Les économies d' échelle sont flexibles .,Экономика масштаба является гибкой .,1
National saving represents resources available for investment to replace old factories and equipment and to buy more and better capital goods .,L' épargne nationale représente les ressources disponibles pour les investissements destinés à remplacer les anciennes usines et équipements et à acheter des biens d' équipement plus nombreux et meilleurs .,"Национальные сбережения представляют собой ресурсы , имеющиеся для инвестиций для замены старых фабрик и оборудования , а также для покупки большего и лучшего капитала .","Old factories and equipment were never replaces , even when there was national savings .","Les anciennes usines et le matériel n' ont jamais été remplacés , même lorsqu' il y a eu des économies nationales .","Старые заводы и оборудование никогда не заменяются , даже когда были национальные сбережения .",2
"Others complain that the superstars are over the hill , and are trotting out mediocre work .","D' autres se plaignent que les superstars sont au-dessus de la colline , et font un travail médiocre .","Другие жалуются на то , что в находятся над холмом , и они занимаются посредственный работой .",Nobody complains about the superstars .,Personne ne se plaint des superstars .,Никто не жалуется на в.,2
"Collaboration with rigorous methodologists is important , but those collaborations have to focus on what can be accomplished specifically in the ED setting .","La collaboration avec des méthodologistes rigoureux est importante , mais ces collaborations doivent se concentrer sur ce qui peut être accompli spécifiquement dans le cadre de l' ed .","Сотрудничество со строгими методисты имеет важное значение , однако это сотрудничество должно сосредоточить внимание на том , что может быть достигнуто конкретно в рамках эд-установления .",Working with rigorous methodologists is important .,Travailler avec des méthodologistes rigoureux est important .,Важное значение имеет работа со строгими методисты .,0
you know their demographic studies that they do that show you know that everybody 's IQ has dropped dramatically or something,Vous savez que leurs études démographiques montrent que vous savez que le qi de tout le monde a chuté de façon spectaculaire ou quelque chose comme ça .,"Ты знаешь , что их демографические исследования показывают , что ты знаешь , что у всех iq резко упал или что-то в этом роде",The studies showed their IQ increased quite a lot .,Les études montrent que leur qi a beaucoup augmenté .,"Исследования показали , что их IQ вырос довольно часто .",2
"Without the support of federal finance organizations , program managers may not be able to determine or defend the cost associated with or benefits derived from government activities .","Sans le soutien des organisations financières fédérales , les directeurs de programme ne peuvent pas déterminer ou défendre les coûts associés ou les avantages découlant des activités gouvernementales .","Без поддержки федеральных финансовых организаций руководители программ , возможно , не смогут определить или защитить расходы , связанные с деятельностью правительства или выгоды от нее .",Federal finance organizations are the best source of information for program managers .,Les organismes fédéraux de financement sont la meilleure source d' information pour les directeurs de programme .,Федеральные финансовые организации являются лучшим источником информации для руководителей программ .,1
The union has about 4000 members in Canada .,L' Union compte environ 4000 membres au Canada .,В Состав Союза входят около 4000 членов в Канаде .,There are 100 members in the union that live in Canada .,Il y a 100 membres dans l' union qui vivent au Canada .,"В Канаде насчитывается 100 членов , которые живут в Канаде .",2
but then we started watching it and and like the new ones are pretty cool because because they got like uh like special like especially things that like fuck with your mind,Mais ensuite on a commencé à le regarder et comme les nouveaux sont plutôt cool parce que parce qu' ils ont comme euh genre spécial comme surtout des choses qui aiment baiser avec ton esprit,"Но потом мы начали смотреть это , и , как и новые , довольно круто , потому что у них есть такие же особенные , как и у тебя .",The new ones have things that can fuck with your mind .,Les nouveaux ont des choses qui peuvent te faire chier .,"У новых есть вещи , которые могут трахнуть твой разум .",0
"In 2000 , GNP was less than GDP because income receipts from the rest of the world were less than U.S. payments to the rest of the world .","En 2000 , le pnb était inférieur au PIB parce que les recettes provenant du reste du monde étaient inférieures aux paiements des États-Unis au reste du monde .","В 2000 году внп был меньше ВВП , потому что поступления от остальной части мира были меньше , чем платежи США остальным странам мира .",The US paid more to the rest of the world than the rest of the world received in income .,Les Etats-Unis ont payé plus au reste du monde que le reste du monde n' a reçu de revenus .,"США заплатили больше всему миру , чем остальной мир , полученный в доходах .",0
"Have you any tips to give us before we clear out ? ""","Avez-vous des conseils à nous donner avant de partir ? ""","У Вас есть какие-нибудь советы , чтобы дать нам , прежде чем мы ясно ? """,Anything we should know ?,Quelque chose qu' on devrait savoir ?,"Есть что-то , что мы должны знать ?",0
and they keep taking more money from us yeah people and get and they don 't have any incentive to work if we 're just gonna take fifty percent of it,Et ils continuent à prendre plus d' argent de nous ouais les gens et à se faire et ils n' ont aucune incitation à travailler si on va juste en prendre %,"И они продолжают брать у нас больше денег , да люди и получают , и у них нет стимула работать , если мы просто возьмем % от этого .",People have a lot of incentive to work because they take home every penny earned .,Les gens ont beaucoup d' incitation à travailler parce qu' ils prennent à la maison chaque centime gagné .,"У людей много стимулов к работе , потому что они берут домой каждый пенни .",2
"They depended too heavily on the second great principle of contagion , and that seemed to be wrapped up with some kind of association through the signs and houses and the courses of the planets .","Ils dépendaient trop du deuxième grand principe de contagion , et cela semblait être enveloppé d' une sorte d' association à travers les panneaux et les maisons et les cours des planètes .","Они слишком сильно зависели от второго великого принципа "" заражения и это , казалось , было завернул с какой-то ассоциацией через знаки и дома и курсы планет .","The signs , houses and the courses of the planets have a great impact on daily life .","Les signes , les maisons et les cours des planètes ont un grand impact sur la vie quotidienne .","Знаки , дома и курсы планет оказывают большое влияние на повседневную жизнь .",1
i guess the financial planners the training now we 've had it for about four years here got our businesses and and and our life in line how to manage credit cards how to put away say for you know money markets and this kind of thing,Je suppose que les planificateurs financiers la formation maintenant que nous l' avons depuis environ quatre ans ici a eu nos entreprises et et notre vie en ligne comment gérer les cartes de crédit comment faire dire pour vous connaissez les marchés de l' argent et ce genre de chose,"Я думаю , что финансовые планированию , которые у нас есть уже около четырех лет здесь , получили наш бизнес и , и наша жизнь в очереди , как управлять кредитными картами , как сказать , что ты знаешь деньги на рынках и такие вещи .",The financial planners do not assist people with issues related to credit cards .,Les PLANIFICATEURS FINANCIERS N' AIDENT PAS LES PERSONNES AYANT DES PROBLÈMES LIÉS AUX CARTES DE CRÉDIT .,"Финансовые планированию не помогают людям в вопросах , связанных с кредитными картами .",2
"Richardson 's need to make Picasso into a serious artist and an honorable man ( instead of the inspired poetic rascal he actually was ) deforms , above all , his account of Picasso 's relations with women , he writes .","Richardson a besoin de faire de Picasso un artiste sérieux et un homme honorable ( au lieu du coquin poétique inspiré qu' il était en fait ) déforme surtout son récit des relations de Picasso avec les femmes , écrit-il .","Ричардсон должен сделать Пикассо серьезным художником и благородным человеком ( вместо того , чтобы вдохновил поэтично негодяй , который он на самом деле был ) деформируется , прежде всего , его отчет о отношениях Пикассо с женщинами , пишет он .",Picasso was a gentleman and not an inspired poetic rascal .,Picasso était un gentleman et pas un coquin poétique inspiré .,"Пикассо был джентльменом , а не в поэтично .",2
"'Uh , hi guys , ' Daniel said meekly .",""" salut les gars , Daniel a dit docilement .","' э , привет , ребята , ' Дэниел сказал покорно .",Daniel greeted everyone even though he was shy .,Daniel a salué tout le monde même s' il était timide .,"Дэниел приветствовал всех , даже несмотря на то , что он был застенчив .",1
oh um i talked to someone about San Antonio,J' ai parlé à quelqu' un de San Antonio .,Я говорил с кем-то о сан-Антонио .,I spoke with someone about Dallas .,J' ai parlé à quelqu' un à propos de Dallas .,Я говорил с кем-то о далласе .,2
A misty morning makes the scene even more evocative of the past .,Un matin brumeux rend la scène encore plus évocatrice du passé .,В утро делает сцену еще более красноречивым из прошлого .,A misty morning in Paris brings to mind old evocative imagery of times gone by .,Un matin brumeux à Paris évoque les vieilles images évocateur des temps passés .,"В утро в Париже наводит на мысли старые воспоминания о времени , которое прошло .",1
"Due to this rationalization of delivery cost in the U.S. , the postal densities of the most sparsely populated areas are higher than the densities of the most sparsely populated areas of France .","En raison de cette rationalisation des coûts de livraison aux États-Unis , les densités postales des zones les plus faiblement peuplées sont plus élevées que les densités des régions les plus faiblement peuplées de France .","Из-за этой рационализации стоимости доставки в США . S. , плотность почтовой плотности наиболее они районов выше , чем плотность населения в наиболее они районах Франции .",Postal density refers to the amount of junk mail delivered in a given area .,La densité postale se réfère à la quantité de Courrier indésirable livré dans une zone donnée .,Почтовая плотность относится к сумме хлам почты в той или иной области .,2
"Races are held between April and December at the Veliefendi Hippodrome near Bakerky , 15 km ( 9 miles ) west of Istanbul .","Les courses se tiennent entre avril et décembre à l' hippodrome de veliefendi près de bakerky , à 15 km ( 9 km ) à l' ouest d' Istanbul .","Гонки проводятся в период с апреля по декабрь на в ипподроме вблизи bakerky , 15 км ( 9 миль ) к западу от Стамбула .",There are races from April to December at Veliefendi Hippodrome .,Il y a des courses d' avril à décembre à l' hippodrome de veliefendi .,Есть гонки с апреля по декабрь на veliefendi ипподром .,0
"The production of anhydrous ammonia in the U.S. in 2000 was approximately 17,400,000 tons ( equivalent anhydrous ) with apparent consumption of 22,000,000 tons and about 4,600,000 met through net imports , as shown in a 2001 edition of U.S.","La production d' ammoniac anhydre aux États-Unis en 2000 était d' environ 17,400,000 17,400,000 tonnes ( équivalent anhydre ) avec une consommation apparente de 22,000,000 tonnes et environ 4,600,000 4,600,000 couverts par des importations nettes , comme le montre une édition 2001 des États-Unis .","Производство безводный аммиака в США в 2000 году было приблизительно 17,400,000 тонн ( эквивалент безводный ) с явным потреблением 22,000,000 тонн и около 4,600,000 4,600,000 , которые были удовлетворены за счет чистого импорта , как это показано в издании 2001 года в США .",The US does not produce any anhydrous ammonia each year .,Les États-Unis ne produisent pas d' ammoniac anhydre chaque année .,США не производят никакого безводный аммиака каждый год .,2
oh yeah they do that i mean in in in north Texas they do that quite a bit where you know if you want to go to this particular movie or concert or a discounted thing the big thing down here is rodeos uh if you,Oh ouais ils font ça je veux dire dans le nord du Texas ils font ça un peu là où tu sais si tu veux aller à ce film ou concert en particulier ou un truc à rabais le gros truc ici c' est des rodéos euh si toi,"О да , они делают то , что я имею в виду в Северном Техасе , они делают это немного там , где ты знаешь , что если ты хочешь пойти на этот фильм или концерт , или со скидкой , то самое важное здесь - родео э , если ты",I try to get discounted prices when I can .,J' essaie d' obtenir des prix réduits quand je peux .,"Я стараюсь получать цены со скидкой , когда могу .",1
"Over the past eight years , the school acquired over $ 88 million of real estate in the Allston section of Boston without revealing its identity to prospective sellers .","Au cours des huit dernières années , l' école a acquis plus de 88 millions de dollars de biens immobiliers dans la section allston de Boston sans révéler son identité aux vendeurs potentiels .","За последние восемь лет школа приобрела более 88 миллионов долларов недвижимости в секции олстон в Бостоне , не раскрывая своей личности потенциальным продавцам .","Over the past eight years , the school acquired more than 88 million in real estate in the Allston section of Boston while remaining completely anonymous even to its own students .","Au cours des huit dernières années , l' école a acquis plus de 88 millions de biens immobiliers dans la section allston de Boston tout en restant complètement anonyme même à ses propres élèves .","За последние восемь лет школа приобрела более 88 миллионов в недвижимости в секции олстон в Бостоне , оставаясь полностью анонимных даже для своих собственных студентов .",1
uh it 's but then there 's so many people you get so many different opinions like well you shouldn 't have well i shouldn 't have to have to do this or i shouldn 't have to do that and all this other stuff i don 't want to get involved and,"Mais il y a tellement de gens que tu as tellement d' opinions différentes que tu ne devrais pas avoir à faire ça , je ne devrais pas avoir à le faire ou je ne devrais pas avoir à faire ça et toutes ces autres choses . Je ne veux pas m' impliquer et","Но тогда есть столько людей , что у тебя столько разных мнений , что тебе не должно быть хорошо , что я не должен делать это , или я не должен делать это , и все эти вещи , которые я не хочу . Принять участие и",Opinions tend to vary .,Les opinions tendent à varier .,"Мнения , как правило , различаются .",0
um-hum so you figure one of these days you 're going to go back to being an engineer is that what you think,"Hum-hum donc tu penses qu' un de ces jours tu vas retourner à être ingénieur , c' est ce que tu penses","Так ты думаешь , что когда-нибудь ты снова станешь инженером , это то , что ты думаешь ?","One of these days , you will go back to studying .","Un de ces jours , tu iras étudier .","Когда-нибудь , ты вернешься к учебе .",1
Right on the waterfront ; offers a more formal atmosphere and a great place to catch a sunset .,"Sur le front de mer , vous offre une atmosphère plus formelle et un endroit idéal pour prendre un coucher de soleil .","Прямо на набережной , предлагает более формальную атмосферу и отличное место , чтобы успеть на закат .",It has a terrible view of the sunset .,Il a une vue terrible sur le coucher de soleil .,У него ужасный вид на закат .,2
"To be sure that any needlework item is the genuine article ( as opposed to an inferior import or machine-made piece ) , look for a lead seal with an M , the emblem of IBTAM meaning it 's been certified by the Instituto de Bordado , Tapecaras e Arte ? ­ sanato da Madeira ( Institute of Madeiran Embroidery , Tapestry , and Handicrafts ) , an official island organization that has a showroom / museum on Rua Visconde de Anadia , 44 .","Pour être sûr que tout élément de couture est l' article authentique ( par opposition à une pièce d' importation inférieure ou à la machine ) , cherchez un joint de plomb avec un m , L' emblème de ibtam signifiant qu' il a été certifié par l' instituto de bordado , tapecaras e Arte ? Sanato Da Madeira ( Institut de la broderie , de la tapisserie et de l' artisanat de Madère ) , une organisation insulaire officielle qui dispose d' une salle d' exposition / Musée sur la rua visconde de anadia , 44 .","Чтобы быть уверенным в том , что любой рукоделию предмет является настоящей статьей ( в отличие от более низкого импорта или машина части ) , искать в печать с м , эмблема ibtam означает , что она была сертифицирована институтом de bordado , tapecaras э-арте ? Sanato да мадейра ( институт мадейры вышивки , гобелен и кустарных изделий ) , официальной островной организации , у которой есть шоурум / музей на острове Руа-де-анадии , 44 . Год .",There is a seal to show authenticity .,Il y a un sceau pour montrer l' authenticité .,"Есть печать , чтобы показать подлинность .",0
"However , my confidence in him , which at one time had rather waned , was fully restored since his belief in Alfred Inglethorp 's innocence had been so triumphantly vindicated .","Cependant , ma confiance en lui , qui s' était quelque peu affaiblie , a été entièrement rétablie puisque sa croyance en l' innocence d' Alfred Inglethorp avait été si triomphalement justifiée .","Тем не менее , моя уверенность в нем , которая когда-то была довольно утрачена , была полностью восстановлена , поскольку его вера в невиновность Альфреда Инглторп была столь триумфально подтверждена .",I felt the real murderer should now be easier to determine .,J' ai senti que le vrai meurtrier devrait être plus facile à déterminer .,"Я чувствовал , что настоящий убийца теперь будет легче определить .",1
( Kohler 's Dictionary for Accountants ) CONTRACT AUTHORITY - Contract authority is a subset of budget authority .,L' autorité contractuelle est un sous-ensemble de l' autorité budgétaire .,( колер ' s словарь для бухгалтеров ) договорные полномочия - договорные полномочия - это часть бюджетных полномочий .,Contract authority must be granted by the financial authority .,L' Autorité financière doit être accordée par l' autorité financière .,Договорные полномочия должны быть предоставлены финансовым органом .,1
"The company once assembled , Poirot rose from his seat with the air of a popular lecturer , and bowed politely to his audience .","L' entreprise fut une fois assemblé , Poirot se leva de son siège avec l' air d' un conférencier populaire , et salua poliment son public .","Когда компания собралась , пуаро поднялся со своего места в воздух популярного преподавателя и вежливо поклонился своей аудитории .","Poirot rose from his seat , bowed and started addressing the audience .","Poirot se leva de son siège , s' inclina et commença à s' adresser au public .","Пуаро поднялся со своего места , поклонился и начал заниматься аудиторией .",1
It will be a pleasure dressing Jane .,Ce sera un plaisir d' habiller Jane .,"Будет приятно одеться , Джейн .",Dressing Jane will be enjoyable .,Habiller Jane sera agréable .,Одежда Джейн будет приятной .,0
"Engakuji is Kamakura 's largest temple complex ; often wracked by fire and earthquake , 17 of the original 46 buildings have survived .","Engakuji est le plus grand complexe du temple de kamakura ; souvent ravagé par le feu et le tremblement de terre , 17 des 46 bâtiments originaux ont survécu .","Engakuji является самым большим храм комплексом камакура ; часто от огнем и землетрясением , 17 из первых 46 зданий выжили .",None of the original buildings in Engakuji are still remaining .,Aucun des bâtiments originaux de engakuji n' est encore en place .,Ни одно из оригинальных зданий в engakuji до сих пор не осталось .,2
"In applying this requirement , the following factors may influence the auditors ' assessment of control","Dans l' application de cette exigence , les facteurs suivants peuvent influer sur l' évaluation du contrôle des commissaires aux comptes .","При применении этого требования могут влиять следующие факторы , которые могут повлиять на оценку ревизорами контроля .",The influence of the following factors is possible .,L' influence des facteurs suivants est possible .,Влияние следующих факторов возможно .,0
do they live close by,Est-ce qu' ils vivent près de,"Они живут рядом ,",Is their house near here ?,Est-ce que leur maison est près d' ici ?,Их дом рядом ?,0
History defies laws .,L' histoire défie les lois .,История бросает вызов законам .,Laws are weak when talking about the past and the future .,Les lois sont faibles quand on parle du passé et de l' avenir .,"Законы слабы , когда речь идет о прошлом и будущем .",1
Now conservatives are fighting back .,"Maintenant , les conservateurs se battent .",Теперь консерваторы ссорятся .,Conservatives are battling now .,Les conservateurs sont en train de se battre .,Консерваторы сейчас борются .,0
the uncompromising Vel ? ¡ zquez portrait of ugly Queen Marianna of Austria ; El Greco 's powerfully mystic Christ on the Crose Ribera 's gruesomely good-humored The Club Foot .,Le Vel sans compromis ? Zquez portrait de la laide reine Marianna D' Autriche ; Le Puissant Christ mystique D' El Greco sur la crose ribera de crose ribera le pied du club .,В вэл ? Zquez портрет уродливой королевы Марианна Австрии ; сильный мистический Христос Эль Греко на в рибера что хорошо в.,El Greco was a extremely famous Spanish painter whose work was often religious .,El Greco était un peintre espagnol extrêmement célèbre dont le travail était souvent religieux .,"Эль Греко был чрезвычайно известным испанским художником , работа которого часто была религиозной .",1
"There are good road connections between Sant Antoni and both CaleT ? ¡ rida and CaleBadella , with the result that both bays have now been developed .","Il y a de bonnes liaisons routières entre Sant Antoni et les deux calet ? Rida et calebadella , avec le résultat que les deux baies ont maintenant été développées .","Есть хорошие дорожные связи между сант-Антоний и обоими calet ? Rida и calebadella , в результате чего в настоящее время были разработаны обе секции .","With the good road connections , both bays have been developed .","Avec les bonnes connexions routières , les deux baies ont été développées .",Благодаря хорошей дорожной связи были разработаны обе секции .,0
and if you yeah if you want to so at least you you know you wouldn 't have any surprises you can order any type of you know service you want but you stand a good chance you know having to pick up at least part of the bill yourself,"Et si vous le voulez au moins , vous savez que vous n' auriez pas de surprises , vous pouvez commander n' importe quel type de service que vous voulez , mais vous avez une bonne chance que vous sachiez avoir à prendre au moins une partie de la facture . Toi-même .","И если ты хочешь , чтобы так , по крайней мере , ты знаешь , что у тебя не будет никаких сюрпризов , ты можешь заказать любой из тех , кого ты хочешь , но у тебя есть хороший шанс , что ты знаешь , что нужно забрать хотя бы часть законопроекта .",You may have to foot the bill if you order any service you want .,Vous aurez peut-être à payer la facture si vous commandez n' importe quel service que vous voulez .,"Возможно , вам придется платить по счетам , если вы будете заказывать любую услугу , которую хотите .",0
"The individual artisans ' shops are no longer here , but you can visit a silk-weaving factory , a ceramics plant , and the Foshan Folk Art Studio , where you can observe workers making Chinese lanterns , carving sculptures , painting scrolls , and cutting intricate designs in paper .","Les magasins individuels d' artisans ne sont plus là , mais vous pouvez visiter une usine de tissage de soie , une usine de céramique , et le studio D' Art Populaire Foshan , où vous pouvez observer les travailleurs qui font des lanternes chinoises , sculpter des sculptures , peindre des rouleaux et couper des dessins complexes . Dans le papier .","Магазины индивидуальных ремесленников уже не здесь , но вы можете посетить фабрику по производству шелка , фабрику керамики и в народную арт-студию , где вы можете наблюдать за рабочими , которые делают китайские фонари , резьба скульптуры , роспись свитки , и режут сложные конструкции . В газете .",Workers carve sculptures and paint scrolls with great enthusiasm .,Les travailleurs découpent des sculptures et des rouleaux de peinture avec beaucoup d' enthousiasme .,Рабочие вырезать скульптуры и краски свитки с большим энтузиазмом .,1
"Really , Sir Ernest , protested the judge , "" these questions are not relevant . "" Sir Ernest bowed , and having shot his arrow proceeded .","Vraiment , Sir Ernest , a protesté contre le juge , "" ces questions ne sont pas pertinentes . "" Sir Ernest S' est incliné , et a tiré sur sa flèche .","В самом деле , сэр Эрнест , возразил судье : "" Эти вопросы не имеют отношения к делу . "" сэр Эрнест Поклонился и выстрелил в свою стрелу .","Sir Ernest bent his head slightly , and continued .","Sir Ernest S' est légèrement penché sur la tête , et a continué .",Сэр Эрнест слегка бент голову и продолжил .,0
"The house is surprisingly small and simple , with one bedroom , a tiny kitchen , and a couple of social rooms .","La maison est étonnamment petite et simple , avec une chambre , une petite cuisine , et quelques chambres sociales .","Дом на удивление маленький и простой , с одной спальней , крошечной кухней и парой социальных комнат .","The house is very large and boasts over ten bedrooms , a huge kitchen , and a full sized olympic pool .","La maison est très grande et dispose de plus de dix chambres , d' une grande cuisine et d' une grande piscine olympique .","Дом очень большой и может похвастаться более чем десятью спальнями , огромной кухней и полным олимпийским бассейном .",2
"Fiction has its glories , but concealment is merely squalid .","La fiction a ses gloires , mais la dissimulation est tout simplement sordide .","Вымысел имеет свою славу , но сокрытие всего лишь убогих .","Hiding things is just dirty , whereas there is glory in fiction","Cacher les choses est juste sale , alors qu' il y a de la gloire dans la fiction","Скрывать вещи - это просто грязно , в то время как есть слава в fiction",0
um but i think in time come you 're going to see that happening you 're going to see um where the high risk people pay a premium but they have to find a way to prove it,Um mais je pense que dans le temps viens tu vas voir que ça arrive tu vas voir hum où les gens à haut risque paient une prime mais ils doivent trouver un moyen de le prouver,"Но я думаю , что со временем вы увидите , что вы увидите , где люди высокого риска платят премию , но они должны найти способ доказать это .",It would take some time before high-risk people start paying a premium .,Il faudrait un certain temps avant que les personnes à haut risque commencent à payer une prime .,"Потребуется некоторое время , прежде чем люди с высоким риском начнут платить премию .",1
Are there children who need to be entertained ?,Y a-T-il des enfants qui ont besoin d' être divertis ?,"Есть ли дети , которых нужно развлекать ?",No children ever want to be entertained .,Aucun enfant ne veut être diverti .,"Ни один ребенок не хочет , чтобы его развлекал .",2
"Hopefully , Wall Street will take voluntary steps to address these issues before it is forced to act .",Espérons que wall street prendra des mesures volontaires pour régler ces questions avant qu' il ne soit forcé d' agir .,"Хотелось бы надеяться , что уолл-стрит примет добровольные меры для решения этих вопросов до того , как она будет вынужден действовать .","Wall Street is facing issues , that need to be addressed .",Wall Street est confronté à des problèmes qui doivent être abordés .,"Уолл-стрит сталкивается с проблемами , которые необходимо решить .",0
okay pro football i like two teams one the New York Giants and the second is the Raiders,Ok pro football j' aime deux équipes un les giants de New York et le second c' est les raiders,"Хорошо про футбол мне нравятся две команды один Нью-Йорк гиганты , а второй - в",The New York Giants and Raiders are my favorite teams in football .,Les Giants et les raiders de New York sont mes équipes préférées dans le football .,""" Нью-Йорк гиганты "" и "" рейдеры "" - мои любимые команды в футболе .",0
He 'd stopped wondering and now accepted ; he meant to get away from here at the first chance and he was somehow sure he could .,Il a arrêté de se demander et maintenant accepté ; il voulait partir d' ici à la première chance et il était en quelque sorte sûr qu' il pouvait .,"Он перестал удивляться и теперь принял ; он хотел уйти отсюда при первой же возможности , и он был уверен , что сможет .",The doctors office was a terrible place and he wanted out .,Le bureau des médecins était un endroit terrible et il voulait sortir .,"Офис доктора был ужасным местом , и он хотел уйти .",1
yeah it 's strange because well it it 's not strange because i use to be the same way and i 'm even to this day you know some vegetables really turn me off but when you read so much information that says this is a healthier way to go you know and this is what your body wants this is what your body really needs and when you think about what is what 's the real reason your eating i know i know it 's for taste because i 'm boy am i a taste person but,Ouais c' est étrange car bien ça c' est pas bizarre parce que j' utilise pour être de la même façon et je suis même à ce jour tu sais que certains légumes m' ont vraiment éteint mais quand tu lis tant d' informations qui dit que c' est un plus sain façon d' y aller tu sais et c' est ce que ton corps veut c' est ce dont ton corps a vraiment besoin et quand tu penses à ce qui est la vraie raison de ta manger je sais que je sais que c' est pour le goût parce que je suis garçon suis-je une personne de goût mais,"Да , это странно , потому что это не странно , потому что я использую то же самое , и я даже до этого дня ты знаешь , что некоторые овощи действительно меня очередь , но когда ты читаешь так много информации , которая говорит , что это более здоровый способ уйти . Ты знаешь , и это то , что твое тело хочет , это то , что нужно твоему телу , и когда ты думаешь о том , что есть настоящая причина , почему ты ешь , я знаю , что это на вкус , потому что я мальчик , я человек на вкус",i 'm a taste person and all vegetables taste very nice unlike other types of food,Je suis une personne de goût et tous les légumes goût très gentil contrairement à d' autres types de nourriture,Я на вкус человек и все овощи вкус очень приятный в отличие от других видов еды,2
in public places there is one state that does that by the way,Dans les lieux publics il y a un état qui fait ça en passant,"В общественных местах есть одно государство , которое делает это , кстати ,",in public places there are absolutely no place that does that,"Dans les lieux publics , il n' y a absolument aucun endroit qui fait ça .","В общественных местах абсолютно нет места , которое делает это .",2
"Once , Las Vegas showrooms were filled with top entertainment headliners , comedians , production shows , and dancing girls that could be enjoyed at a very low price .","Une fois , les salles d' exposition de Las Vegas étaient remplies de vedettes de divertissement , de comédiens , de spectacles de production et de danseuses qui pouvaient bénéficier à un prix très bas .","Когда-то в Лас-Вегасе были заполнены топ-развлечения , комики , шоу-шоу и танцующих девушек , которые могли бы получить удовольствие по очень низкой цене .","Due to inflation and the production value , Las Vegas shows now cost more to see .","En raison de l' inflation et de la valeur de la production , Las Vegas montre maintenant plus cher à voir .","Из-за инфляции и стоимости производства , Лас-Вегас показывает , что сейчас стоит больше посмотреть .",1
uh stick on those things and they can just all that 's all they have to do i mean that wouldn 't cost a great deal of money and uh,"Ils ont tout ce qu' ils ont à faire , je veux dire que ça ne coûte pas beaucoup d' argent et","Uh на эти вещи , и они могут просто все , что они должны сделать , я имею в виду , что это не будет стоить много денег и",It wouldn 't cost them much money to just stick on those things .,Ça ne leur coûterait pas cher de s' en tenir à ces choses-là .,"Это не будет стоить им денег , чтобы просто придерживаться этих вещей .",0
we have gone on trips we 've bathed in streams,"Nous sommes partis en voyage , nous nous sommes baignés dans les ruisseaux .","Мы купались в поездках , которые купались в потоках .","In addition to bathing in streams , we 've also gone to spas and saunas .","En plus de se baigner dans les ruisseaux , nous sommes également allés dans les spas et les saunas .","Помимо купания в потоках , мы также уехали в спа и сауны .",1
